concept_id,slide_number,scene_description,english_narration,toto_narration,notes,file_name_eng,file_name_toto,audio_english_url,audio_toto_url,image_url
770e8400-e29b-41d4-a716-446655440004,2,Children playing in rain,"In the monsoon, rain helps plants grow and fills our rivers.",,"Gentle, happy tone",concept_004_slide_002_eng.mp3,concept_004_slide_002_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_004_slide_002_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_004_slide_002_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_004_slide_002.png
770e8400-e29b-41d4-a716-446655440004,3,Snowy mountain scene,"In some places, the weather becomes cold and snowy. Each season is special.",,"Calm, concluding tone",concept_004_slide_003_eng.mp3,concept_004_slide_003_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_004_slide_003_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_004_slide_003_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_004_slide_003.png
770e8400-e29b-41d4-a716-446655440005,1,Water evaporating from sea,"The heat of the sun makes water from seas and rivers turn into vapor.",,"Clear, scientific tone",concept_005_slide_001_eng.mp3,concept_005_slide_001_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_005_slide_001_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_005_slide_001_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_005_slide_001.png
770e8400-e29b-41d4-a716-446655440005,2,Clouds forming and moving,"The vapor cools down high up in the sky and forms clouds.",,"Neutral tone",concept_005_slide_002_eng.mp3,concept_005_slide_002_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_005_slide_002_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_005_slide_002_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_005_slide_002.png
770e8400-e29b-41d4-a716-446655440005,3,Rain falling back to earth,"When the clouds get heavy, it rains again. The water returns to rivers, this is the water cycle.",,"Calm, explanatory ending",concept_005_slide_003_eng.mp3,concept_005_slide_003_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_005_slide_003_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_005_slide_003_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_005_slide_003.png
770e8400-e29b-41d4-a716-446655440006,1,Sunlight on leaves,"Plants make their own food using sunlight, air, and water.",,"Calm, factual",concept_006_slide_001_eng.mp3,concept_006_slide_001_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_006_slide_001_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_006_slide_001_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_006_slide_001.png
770e8400-e29b-41d4-a716-446655440006,2,Leaf zoom-in,This process is called photosynthesis.,,"Slow, clear voice",concept_006_slide_002_eng.mp3,concept_006_slide_002_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_006_slide_002_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_006_slide_002_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_006_slide_002.png
770e8400-e29b-41d4-a716-446655440006,3,Happy green plant,"That's why sunlight and water are very important for plants.",,"Educational tone",concept_006_slide_003_eng.mp3,concept_006_slide_003_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_006_slide_003_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_006_slide_003_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_006_slide_003.png
770e8400-e29b-41d4-a716-446655440007,1,Sun and clouds,"The weather keeps changing — that's why we have different seasons.",,"Calm tone",concept_007_slide_001_eng.mp3,concept_007_slide_001_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_007_slide_001_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_007_slide_001_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_007_slide_001.png
770e8400-e29b-41d4-a716-446655440007,2,Summer monsoon winter,"Summer is hot, monsoon brings rain, and winter is cold.",,"Informative tone",concept_007_slide_002_eng.mp3,concept_007_slide_002_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_007_slide_002_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_007_slide_002_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_007_slide_002.png
770e8400-e29b-41d4-a716-446655440007,3,Flowers blooming,Each season is special and helps nature in its own way.,,"Warm conclusion",concept_007_slide_003_eng.mp3,concept_007_slide_003_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_007_slide_003_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_007_slide_003_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_007_slide_003.png

